name,slug,region,location,homepage,status,lat,lng,soundtap_url
WXPN,wxpn,North America,,,,39.952051,-75.185147,http://soundtap.com/wxpn/
WXPR,wxpr,North America,,,,45.630645,-89.419012,http://soundtap.com/wxpr/
WXUT,wxut,North America,,,,41.6639383,-83.555212,http://soundtap.com/wxut/
WXYC,wxyc,North America,,,,35.91031,-79.047712,http://soundtap.com/wxyc/
WYBC,wybc,North America,,,,41.305631,-72.927784,http://soundtap.com/wybc/
WYN Radio,wynradio,North America,,,,25.796005,-80.128712,http://soundtap.com/wynradio/
Wyoming Public Radio,wyomingpublicradio,North America,,,,41.314621,-105.56983,http://soundtap.com/wyomingpublicradio/
WYSU,wysu,North America,,,,41.106822,-80.646759,http://soundtap.com/wysu/
WZBC,wzbc,North America,,,,42.3600825,-71.0588801,http://soundtap.com/wzbc/
WZBT,wzbt,North America,,,,39.835739,-77.236019,http://soundtap.com/wzbt/
WZLY,wzly,North America,,,,42.293152,-71.305335,http://soundtap.com/wzly/
XRAY FM,xrayfm,North America,,,,45.5230622,-122.6764816,http://soundtap.com/xrayfm/
YNOT Radio,ynotradio,North America,,,,39.950112,-75.158746,http://soundtap.com/ynotradio/
ZUMIX,zumix,North America,,,,42.368144,-71.037765,http://soundtap.com/zumix/
3RRR,3rrr,Oceania,"Melbourne, Australia",http://www.rrr.org.au/,active,-37.767498,144.979926,http://soundtap.com/3rrr/
4ZZZ,4zzz,Oceania,,,,-27.456943,153.031296,http://soundtap.com/4zzz/
andhowFM,andhowfm,Oceania,"Papakowhai, New Zealand",http://andhow.org/,active,-41.1193822,174.8587926,http://soundtap.com/andhowfm/
Bondi Beach Radio,bondibeachradio,Oceania,,,,-31.2532183,146.921099,http://soundtap.com/bondibeachradio/
Boom Radio,boomradio,Oceania,,,,-31.9363895,115.8419536,http://soundtap.com/boomradio/
FreeFM,freefm,Oceania,,,,-37.79204,175.277233,http://soundtap.com/freefm/
PBSFM,pbsfm,Oceania,,,,-37.797822,144.986538,http://soundtap.com/pbsfm/
PRI Bali,pribali,Oceania,,,,-8.4095178,115.188916,http://soundtap.com/pribali/
Radio Kidnappers,radiokidnappers,Oceania,,,,-39.636002,176.84697,http://soundtap.com/radiokidnappers/
Radio One 91FM,radioone91fm,Oceania,,,,-45.8787605,170.5027976,http://soundtap.com/radioone91fm/
RTRfm,rtrfm,Oceania,,,,-31.934851,115.872028,http://soundtap.com/rtrfm/
tripleJ,triplej,Oceania,,,,-33.926204,151.053414,http://soundtap.com/triplej/
